,RNN,BlockRNN,TCN,NBEATS,NHiTS,DLinear,NLinear,TSMixer,Prophet,Kalman,TiDE,Transformer,TFT
MAPE,98.90945,37.601826,3.6177232,5.0512395,3.2432613,4.405148,8.316562,89.421486,5.332714236277977,11.566167048465793,3.0098593,90.29111,90.38034
MASE,20.192955,7.970045,0.7066503,1.0453974,0.64006895,0.8638094,1.6595188,18.283274,1.1399872614743174,2.451964986242576,0.59411794,18.478373,18.495909
SMAPE,195.68687,47.09624,3.6647117,5.1536965,3.3179786,4.2890573,8.028718,161.77827,5.499044880125228,11.742920669884903,3.0209615,164.67517,164.97061
RMSE,453.68518,190.7214,19.038034,29.59773,17.974754,23.335375,43.119328,411.50586,30.41408227866059,69.53290940517964,16.60158,416.2744,416.6474
MAE,447.46912,176.61353,15.659135,23.165655,14.183713,19.141727,36.77438,405.15115,25.261734854169173,54.334720612632005,13.165455,409.47452,409.86313
